'LeanUrat.HC1.C1_LST' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C2_TYPa' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C3_TYPb' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C4_DOM' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C5_typToClause' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C6_alphabetCard' depends on axioms: [propext, sorryAx, Classical.choice, Quot.sound]
'LeanUrat.HC1.C6_attain_automatic' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C6_cardK_bridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C6_conjunct1_closable' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C6_conjunct2_rhs_always' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C6_conjunct3_hyp_false' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.C6_forces_unconditional_fullness' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D1_carryRing' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D2_carryGrading' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D3_carryDomain' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D4_carryAdjoinRoot' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D5_carryE1' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D6_carryHomogUnits' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D7_digD_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.D8_digD_recenter' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.HC1.G1_divGate' depends on axioms: [propext, Classical.choice, Quot.sound]
