'LeanUrat.MovesC.C0_coordPrec_trans' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C0_coordPrec_trichotomy' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C0_coordSort' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C0_digitSystemMass' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C0_moveMass' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C0_pinStatus' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesC.C0_pinTransport' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C0_pinWelldef' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C0_solvedGraph' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesC.C0_unitriBij' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C1_TYP_fiberCount' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C1_TYP_toClause' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C1_clausesCount' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C1_stripClause' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C2_DOM' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C2_DOM_floorForm' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C2_EInh_implied' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C2_floorH_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C2_floorH_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C2_freshFree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C3_crossing' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C3_crossing_reverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C3_lineDom' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C3_steeperChain' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C3_vtxPolyNe' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C3_widthConfine' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C4_conditionalMass' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C4_numPinnedStep' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C4_stepMass' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C5_massCodim' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C5_massRec' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C6_psiBij' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C6_thmC_a' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C6_thmC_b' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C6_transportedAdmissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.C6_transportedSystem' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.card_joint' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.card_zmod' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.clause_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.clausesCountFull' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.clausesCountList' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.putOn_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.putOn_restrict_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesC.restrict_putOn' depends on axioms: [propext, Classical.choice, Quot.sound]
