'LeanUrat.MovesU.CapstoneLedger.finiteness_stack' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegData.pool_self_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.Jcell_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.K_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.Wcoef_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.betaLeg_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.bsplit_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.bterm_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.det_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.entry_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegP.iota_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.RegPin.detHyp' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.SolveSeam.R_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.SolveSeam.R_defined' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.SolveSeam.evalℝ_eq_Rval' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.SolveSeam.rs4_eval' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.SolveSeam.solve_stack' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.TreeSeam.finiteness_stack' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.UCarriers.cl1' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.UCarriers.vmap_mem_Sigmas' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.ZpBridge.zpCount_eq_trueCount' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.ZpBridge.zpDmass_eq_trueDmass' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.boxCard' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.boxN' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.chartWitness_inj' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.ctsmSyntaxRow_iff_part' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.identification' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.lmeas_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.lmeas_implied' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.menuWFT_holds' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.splittingType_nonempty' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesU.sq2_partial' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.sq2_partial_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.sq2_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.sq3_arith' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.squeeze_limit' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.theoremU' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.tonelli_partial_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.un_bracket' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesU.vmap_deg_sum' depends on axioms: [propext, Quot.sound]
