'LeanUrat.MovesD.A'_nil' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.A_stable' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.CD_canonical' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.CD_correspondence' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.CD_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R1_EV' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R1_EV_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R1_SUM' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R2'' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R2'_full' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R2_cor' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R4_all' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R4_all_noteRange' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.D4R4_emptyPref' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Dwidth_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.EtaGalEq.refl' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesD.EtaGalEq.symm' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesD.EtaGalEq.trans' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesD.L9_A' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Mfac_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.NP_eq_noteNP' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.NP_le_Nshape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.NP_le_of_noteNP_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.NP_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.NP_stab' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.OffsetPPin.lift_center_realizer' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.OffsetPPin.lift_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.OffsetPPin.no_pin_of_wrong_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.OffsetPPin.no_pin_of_wrong_weight' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.OffsetPPin.not_realizes_bare_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Phat0_A'' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Phat0_wf' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.PhatStar_A'' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.PhatStar_Mfac' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesD.PhatStar_NPband' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.PhatStar_Nshape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.PhatStar_W' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesD.PhatStar_wf' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.PrefOpt_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.PrefOpt_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Pref_empty_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Presented.event_empty_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Presented.event_of_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Presented.mult_empty_shape' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesD.Presented.mult_of_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
