'LeanUrat.MovesS.Aℝ_det_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ReadOffBundle.legAgree_forall' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.active_solve_meas' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.allActive_cofinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.allActive_cofinite_primes' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.bSplit_def' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.bdy_edge' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesS.bdy_mass_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.bdy_node_shadow' depends on axioms: [propext, Quot.sound]
'LeanUrat.MovesS.blockSolve_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.blockSolve_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.dispatch_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.e0_det_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.e0_inv_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.evalAt_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.eval_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.interp_read_off' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.interp_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.kcol_agree' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ksub' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ksub_countFactored' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ksub_eval' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ksub_eval_countFactored' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ksub_pool' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ksub_pool_countFactored' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ksub_regroup' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.ktri' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.mem_OKat_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.mulVec_abs_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2OnePG_evalAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2OnePG_val' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2OnePG_val_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_act' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_activity' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_base_infinite' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_base_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_beta' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_carriers' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_checksum' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_d4r0' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_degcons_scs' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_degpins_iota' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_degpins_tg' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_det' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_ent_flow' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_entcount' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_events' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_heights' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_hmc' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_init_agg' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_init_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_interp_iota' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_interp_tg' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_kstep_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_meas_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_ok' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_part1' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_polygeom_data' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_pool' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_pools' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_pools_all' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_recursion' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_rep_indep' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_rexact' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_rs1eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.MovesS.n2_rsh' depends on axioms: [propext, Classical.choice, Quot.sound]
