'LeanUrat.Moves.Stage.le_nextField' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.Stage.grRes_mul_T_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_FactA_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_FactB_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_GRa' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_GRb' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_GRc' depends on axioms: [propext, Classical.choice, Quot.sound]
'L0_GRd' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_GRe' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_GRf' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L0_GRg' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L1_baseResidual_laws' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L1_baseWeight_valuation' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L1_gaussVal_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_P6i' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_P6ii' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_anchorCong' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_iaugRecenter' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_iaugRoot' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_iaugStep' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_keyResidualPow' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_psiNotDvd' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_slotDecomp' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_strideRule' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L2_widthBound' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L3_DIV' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L3_K1' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L3_digPrime_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L3_liftExists' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L3_liftMonic' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L3_liftResidual' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L3_liftWeight' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.TRANSi_ge_core' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSi' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSii' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.TRANSiii_le_core' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSiii' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSv' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSvii' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSviii_a' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSviii_b' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L4_TRANSviii_c' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_landBox' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_landTransport' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_landTwoSided' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_landVertex' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_landVertexDigit' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_realCofin' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_realConclusion' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_realDomination' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_realRecursion' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_recLiftIndep' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_recRSland' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_recSpecies' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_recSubst' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L5_recVV' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L6_ledgerCount' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L6_measureExact' depends on axioms: [propext, sorryAx, Classical.choice, Quot.sound]
'LeanUrat.Moves.L6_moveAffineBij' depends on axioms: [propext, Classical.choice, Quot.sound]
'LeanUrat.Moves.L6_moveReduceCommute' depends on axioms: [propext, Classical.choice, Quot.sound]
