id	node-kind	note	unit-type	class	chapter	status	source
EFF.GENH4.01	eff-unit	GENH4	changes-record	record	H	OPEN	EFF-GENH4.md:227
EFF.GENH4.02	eff-unit	GENH4	instrument-record	record	H	OPEN	EFF-GENH4.md:251
EFF.GENH4.03	eff-unit	GENH4	scope-record	record	H	OPEN	EFF-GENH4.md:275
EFF.GENH4.04	eff-unit	GENH4	scope-record	record	H	OPEN	EFF-GENH4.md:315
EFF.GENH4.05	eff-unit	GENH4	fence	record	H	OPEN	EFF-GENH4.md:350
EFF.GENH4.06	eff-unit	GENH4	convention	math	H	OPEN	EFF-GENH4.md:381
EFF.GENH4.07	eff-unit	GENH4	theorem	math	H	OPEN	EFF-GENH4.md:420
EFF.GENH4.08	eff-unit	GENH4	changes-record	record	H	OPEN	EFF-GENH4.md:473
EFF.GENH4.09	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:515
EFF.GENH4.10	eff-unit	GENH4	theorem	math	H	OPEN	EFF-GENH4.md:544
EFF.GENH4.11	eff-unit	GENH4	theorem	math	H	OPEN	EFF-GENH4.md:589
EFF.GENH4.12	eff-unit	GENH4	theorem	math	H	OPEN	EFF-GENH4.md:621
EFF.GENH4.13	eff-unit	GENH4	scope-record	record	H	OPEN	EFF-GENH4.md:663
EFF.GENH4.14	eff-unit	GENH4	definition	math	H	OPEN	EFF-GENH4.md:680
EFF.GENH4.15	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:736
EFF.GENH4.16	eff-unit	GENH4	instance-record	math	H	OPEN	EFF-GENH4.md:792
EFF.GENH4.17	eff-unit	GENH4	table	math	H	OPEN	EFF-GENH4.md:817
EFF.GENH4.18	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:872
EFF.GENH4.19	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:936
EFF.GENH4.20	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:980
EFF.GENH4.21	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:1012
EFF.GENH4.22	eff-unit	GENH4	scope-record	record	H	OPEN	EFF-GENH4.md:1071
EFF.GENH4.23	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:1090
EFF.GENH4.24	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:1154
EFF.GENH4.25	eff-unit	GENH4	table	math	H	OPEN	EFF-GENH4.md:1176
EFF.GENH4.26	eff-unit	GENH4	theorem	math	H	OPEN	EFF-GENH4.md:1242
EFF.GENH4.27	eff-unit	GENH4	theorem	math	H	OPEN	EFF-GENH4.md:1271
EFF.GENH4.28	eff-unit	GENH4	theorem	math	H	OPEN	EFF-GENH4.md:1304
EFF.GENH4.29	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:1376
EFF.GENH4.30	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:1400
EFF.GENH4.31	eff-unit	GENH4	lemma	math	H	OPEN	EFF-GENH4.md:1421
